scorer,,,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen,chen
labeled-data,example,000013.jpg,368.5650628067052,853.4179752903315,341.8768947506487,571.9791121537359,535.9726624310596,627.781645361854,,,567.5132246791263,698.1413611460029,261.81239058247934,707.8461495300234,557.8084362951057,800.0416391782185
labeled-data,example,000014.jpg,798.0019487996141,644.76502503389,492.3011147029671,601.0934773057975,,,443.77717278286445,736.960514682085,,,497.15350889497734,812.1726246582441,,
labeled-data,example,000015.jpg,215.75371514415247,286.4797720698696,138.37592068566198,206.85914298939392,210.1466285891894,193.40213525748254,121.55466102077274,246.66945752963179,221.36080169911554,223.68040265428317,133.89025144169153,273.0227643379582,254.4426123733977,236.01599307520192
labeled-data,example,000017.jpg,66.04450412663826,259.00504795055053,,,149.02938514009185,192.84142660198623,,,173.13985732643306,236.01599307520192,,,120.43324370978011,259.5657566060468
labeled-data,example,000018.jpg,788.3783420767732,758.4049966937164,556.1453216350602,569.4696580292718,,,375.08228874830104,636.384257139596,,,526.6241749687408,746.5965380271887,,
labeled-data,example,000019.jpg,215.49294113024823,306.80552093855925,152.68486833264112,223.9247650819231,247.8682363867467,205.79459973828392,143.61978566082152,262.12761348459134,260.8183544893461,246.58747176147205,164.98748053011053,310.6905563693391,278.9485198329853,304.21549731803935
labeled-data,example,000020.jpg,790.2758982178386,728.7492765621522,522.9553862961411,575.7313283586977,782.9015392682745,520.4236362369672,565.3579502561345,693.7210715517228,827.147692965659,601.541584682172,559.8271810439614,776.6826097343186,911.9528208856457,675.2851741778127
labeled-data,example,000021.jpg,299.881028071828,835.6774813308311,,,511.893847871795,623.6646615308641,,,626.196411590038,682.6595331273767,220.60666936401424,684.5031228647678,534.0169247204872,778.5261994717097
labeled-data,example,000022.jpg,454.7425660126734,994.2261987464587,,,561.6707707813523,710.313379188242,,,703.6271805604608,791.4313276334467,,,611.4476936909098,865.1749171290875
labeled-data,example,000023.jpg,493.4579504978847,968.4159424229845,434.46307890137217,651.3185075917295,644.6323089639482,673.4415844404216,,,784.7451290056656,745.3415841986713,353.3451304561675,758.2467123604084,701.7835908230697,796.9620968456198
labeled-data,example,000024.jpg,648.3194884387303,649.4749178543384,460.27333522484645,468.8031235900187,690.7220523987237,426.4005596300253,314.6297459709561,537.0159438734863,404.96564310311595,623.6646615308641,781.0579495308834,560.9826104595695,,
labeled-data,example,000025.jpg,386.5297457292058,537.0159438734863,298.03743833443696,430.0877391048073,517.4246170839681,439.3056948244991,220.60666936401424,505.67492537057575,613.291283428301,498.30056642101164,215.0759001518412,614.4467198766458,615.134873165692,603.3851814522998
labeled-data,example,000026.jpg,395.7476944161609,566.5133867044793,268.54000253618074,400.5903103392878,487.92718128571175,385.8415924401596,233.51179752575138,463.2723614105824,557.9835913065705,442.99287429928114,251.94769489966154,551.7646688053512,548.7656426196154,522.267233007095
labeled-data,example,000027.jpg,108.67188549887183,269.50626714506177,82.77164929367305,192.45306443459535,169.53744058108902,194.39558214998524,70.4690370962036,219.64831245005408,187.66760592472815,217.70579473466418,68.52651938081371,255.2611372322024,176.66000553751869,252.02360770655255
labeled-data,example,000028.jpg,196.26097632089918,653.5871400305939,417.59180120704616,450.20205770278307,,,,,523.7707780105357,556.3810345062725,,,131.95539882019432,550.3991203201604
labeled-data,example,000029.jpg,205.28392474002615,227.82796421473932,138.05292301958818,150.0921184754829,224.7178861748403,145.3649386670146,96.03354694431442,171.10180651311975,247.30330081529993,169.52607991029703,135.42671201488352,217.84836239686183,236.79845679648147,205.76779177522064
labeled-data,example,000031.jpg,419.49361439407016,565.9666540694116,296.215723344907,406.26574975572294,525.9608839365292,406.26574975572294,220.56792656473863,515.5347895492994,621.2210724745189,459.49938452695255,254.18916957814668,607.9932078361717,618.4193022234015,585.5790458272331
labeled-data,example,000032.jpg,551.1768161965852,579.9755053249983,369.06174987395775,456.6976142758351,646.4370047345749,434.28345226689635,231.7750075692079,543.552492060473,691.2653287524524,518.3365598004166,296.2157233449068,661.2268426074015,699.6706395058045,624.8038293428758
labeled-data,example,000033.jpg,608.7827276895239,802.1194513188454,453.3547604651301,567.25052306865,705.493462851369,560.3426134142326,322.1044770311976,598.3361165135291,812.5660624948403,577.6123875502765,422.2691670202514,746.8561740835055,795.2962883587963,715.7705806386264
labeled-data,example,000034.jpg,729.6711466418303,923.0078702711519,563.8813149358102,622.5138003039904,847.1056107669278,608.6979809951551,432.6310315018777,639.7835744400338,898.9149331750591,663.9612582304956,525.8878118365142,826.2971351093067,888.553068693433,788.3036320100102
labeled-data,example,000035.jpg,367.00588978491146,705.4087161570003,297.9267932407365,473.99374273401395,543.1575859725576,487.80956204284917,246.11747083260525,511.98724583331,622.5985469983589,563.7965682414417,270.2951546230663,663.9612582304951,577.6971342446452,677.7770775393303
labeled-data,example,000037.jpg,677.861824233699,736.494309601879,491.34826356442613,529.2570199693539,,,360.09798013049385,587.9742520319026,,,474.0784894283827,708.862670984209,,
labeled-data,example,000038.jpg,663.7047820186276,880.276476396129,469.48806002988977,623.0705472759082,773.9358944987225,581.0777425215865,312.0150422011834,638.8178490587788,989.1490188646212,570.5795413330061,385.5024505212464,801.5399674817759,915.6616105445582,759.5471627274537
labeled-data,example,000039.jpg,731.8139761666023,692.6602936348629,498.5193229082312,507.2209538653884,,,325.04381151098085,576.0129670056773,,,531.4198509318476,662.7507227043025,,
labeled-data,example,000040.jpg,378.8810505955854,834.7307555550245,,,508.9876841435232,661.2552441577743,,,595.7254398421484,724.0653431119512,,,564.3203903650599,794.3528347987681
labeled-data,example,000041.jpg,668.1295403732933,841.0917391935957,469.0218487350635,592.2071246458083,705.0013351211136,536.8994325240778,351.0321055420384,656.7327654544938,811.9295398897926,601.4250733327633,433.9936437246341,800.5327649709932,775.0577451419723,743.3814831118716
labeled-data,example,000042.jpg,692.0962069593764,747.0686625866538,472.7090282098454,566.3968683223341,677.3474890602484,488.9660993519114,397.1218489768138,621.7045604440646,701.3141556463316,527.6814838371226,551.9833869176592,772.878918910128,767.6833861924082,618.0173809692826
labeled-data,example,000044.jpg,278.18682913147325,266.2179552374829,228.98491802094088,202.25547079379078,,,210.28819179893856,236.69680857116344,,,250.63375890957514,268.1860316819042,,
labeled-data,example,000046.jpg,186.67127446588302,473.85002012392965,,,404.1437215744362,430.55233834666114,,,498.6113909066584,523.051931234462,,,412.0160273521214,603.7430654557352
labeled-data,example,000047.jpg,172.8947393549339,575.2059570116263,,,417.92025668538525,540.7646192342537,,,530.100614017399,630.3120974554226,,,360.8460397971677,658.8492058995315
labeled-data,example,000048.jpg,341.81153573581753,967.4172856477817,,,573.5350192006076,715.5216080467286,,,691.5794814775993,791.1911351473642,,,582.6153624526839,915.2891595924065
labeled-data,example,000049.jpg,161.13369030302943,572.7665921816222,,,338.84756854718535,412.8241017618819,,,510.0991239460992,493.60313732740735,,,372.774763484706,559.8419464911382
labeled-data,example,000050.jpg,928.5345281755209,1002.5110613902175,700.7376478807392,807.0257953216459,871.989203279653,668.0858541489422,560.182125996725,868.4178623514453,917.2254631963473,732.7090826013625,716.8934549938443,975.0461892979388,970.539626669594,847.4153131044086
labeled-data,example,000051.jpg,1072.5465462404452,1013.2607834114975,727.4935026615469,846.7878237900992,975.6895515516319,659.1273965805229,585.234791712352,940.6180373948874,1033.1983921481149,734.7969236811585,812.2433730142589,1037.475032083701,1063.466202988369,837.7074805380231
labeled-data,example,000052.jpg,648.7971944768858,598.5917749000145,509.5652646117162,562.2704018917094,,,482.3242348554875,650.0470533284466,,,588.2615727963773,680.3148641687009,,
labeled-data,example,000054.jpg,907.8213125648314,922.4542914334679,666.8317978789099,741.2142431986013,788.3223796627216,599.8071725977713,519.4497806329747,844.7799850470965,692.7232333410337,942.3707802504862,935.704396908657,755.1557853705142,,
labeled-data,example,000055.jpg,378.04271003214467,958.3039713041007,,,583.1825448474332,749.1808387254086,,,712.639722158052,820.8801984666745,,,583.1825448474332,916.4793447883624
labeled-data,example,000056.jpg,597.1240870193459,635.6568524684044,409.909092139374,470.34999528715247,609.073980309557,420.5587732446067,374.0594122687411,561.9658438454367,676.7900422874192,458.4001019969415,435.8005276014977,639.6401502318079,662.8485001155062,559.9741949637348
labeled-data,example,000057.jpg,252.56883048492944,530.0994617382073,,,557.2911093853094,625.6986080598952,613.0572780729607,739.2225943168994,,,,,322.27654134449347,699.3896166828629
labeled-data,example,000058.jpg,736.539508738474,900.5461537347476,553.3078116219057,645.6150968769134,796.288975189529,611.7570658879824,437.79217648319957,663.5399368122298,854.0467927588819,599.8071725977715,551.3161627402038,806.9386562947616,869.9799838124965,787.0221674777433
labeled-data,example,000059.jpg,533.3913228048874,816.8969007032708,389.99260332235565,577.8990348990513,621.0238735997679,538.0660572650147,318.29324358108977,581.8823326624549,710.6480732763501,575.9073860173495,366.0928167419337,707.3562122096703,714.6313710397538,715.3228077364774
labeled-data,example,000060.jpg,818.1971128882491,1257.0513035593751,656.8735534704009,938.3874824870825,921.7628547367441,938.3874824870825,563.2660560304149,1000.1285978198393,957.6125346073771,1010.0868422283484,668.8234467606118,1149.5022639474764,929.7294502635515,1145.5189661840727
labeled-data,example,000061.jpg,852.0551438771801,1035.9782776904722,660.8568512338044,735.2392965534959,,,539.366269449993,777.0639230692343,,,585.174193729135,968.26221571261,953.6292368439734,894.5712070896423
labeled-data,example,000062.jpg,555.2994605036075,723.2894032632848,401.94249661256663,514.1662706845927,644.9236601801898,502.2163773943818,338.20973239810814,579.8906837807531,762.4309442005978,522.1328662114001,391.9842522040575,693.4146700377576,746.4977531469832,671.5065323390374
labeled-data,example,000063.jpg,184.85276850706725,593.832225952666,,,378.04271003214467,412.59217771779953,,,529.4080250414837,484.2915374590654,121.12000429260877,508.19132403948726,405.9257943759703,557.982546082033
labeled-data,example,000064.jpg,61.39365892806039,209.6154063218594,,,125.0488151933829,162.74842313750108,,,176.11284164798226,192.82723324089523,,,108.96014932412555,215.21146401551414
labeled-data,example,000065.jpg,401.8332693929474,995.2230414148778,389.1791045874644,632.0849765580354,624.1936726282803,747.6006116967415,,,747.6759032937937,803.3667803843928,321.4630426096022,845.1914069001311,580.3773972308401,934.8156065767134
labeled-data,example,000067.jpg,907.0078138299401,1211.654801133268,719.7928189499681,968.6736375656446,990.6570668614169,904.9408733511862,600.2938860478583,1002.5316685545758,1042.4399377856644,940.790553221819,729.7510633584773,1153.8969835639148,1034.473342258857,1102.1141126396672
labeled-data,example,000068.jpg,369.26261577044613,747.6006116967415,271.67182056705644,478.7280126669945,552.4943128870144,486.6946081938018,225.8638962879144,560.3856168167695,598.3022371661565,578.3104567520859,231.8388429330199,687.8511452456867,574.4024505857345,683.867847482283
labeled-data,example,000069.jpg,241.79708734152902,369.18732417339385,184.03926977217597,279.56312449681155,271.67182056705644,271.5965289700043,116.32320779431379,257.65498679809144,289.59666050237297,243.7134446261786,176.07267424536863,331.34599542105906,279.6384160938637,331.34599542105906
labeled-data,example,000070.jpg,273.6634694487583,305.45455995893536,245.78038510493266,237.73849798107307,,,219.8889496428089,261.638284561495,,,253.74698063174,283.54642226021525,,
labeled-data,example,000071.jpg,389.1791045874644,685.8594963639848,275.65511833046014,460.803172731678,498.71979308106506,442.8783327963616,223.87224740621255,490.6779059572055,588.3439927576474,482.7113104303982,257.7302783951436,618.1434343861226,528.5945263065925,588.2687011605951
labeled-data,example,000072.jpg,454.90351768362484,717.7258784712142,341.3795314266205,464.7864704950817,618.2187259831747,528.5192347095403,257.7302783951436,504.6194481291183,628.176970391684,594.2436478057007,293.57995826577655,638.0599232031409,620.2103748648766,679.8845497188793
labeled-data,example,000073.jpg,578.3857483491382,1038.3813484252087,421.04548669469364,703.7843362993012,747.6759032937937,705.7759851810031,367.2709668887443,761.5421538686544,819.3752630350596,797.3918337392872,319.47139372790036,896.9742778243788,815.3919652716559,910.9158199962915
labeled-data,example,000074.jpg,769.5840409925138,793.4085359758838,496.7281441993632,594.2436478057007,,,413.07889116788635,681.8761986005811,,,506.68638860787235,811.3333759112002,,
labeled-data,example,000075.jpg,301.54655379258395,823.283269201411,,,530.5861751882943,610.1768388593152,,,596.3105882844546,719.717527352916,,,514.6529841346796,845.1914069001311
labeled-data,example,000076.jpg,131.91904101480327,149.57123044409715,64.25758823133059,75.46582977648424,125.0148111389387,59.816242057857906,49.98884648787717,105.38415923856397,136.5218609320463,79.60836770200297,72.08238209064375,140.8258726013354,154.47285860929412,95.25795542062927
labeled-data,example,000077.jpg,337.19616617092095,804.3649653681043,,,481.35366371015846,569.7814011906177,,,557.3639805944838,694.2810581563228,272.9805536307151,710.0073306151488,477.422095595452,755.8756252867244
labeled-data,example,000078.jpg,785.3949312474597,860.7174416788972,601.9217525611573,658.8969451239645,,,476.11157289054984,737.5283074180942,,,609.7848887905702,843.6806465151692,777.5317950180468,771.6018977455503
labeled-data,example,000079.jpg,210.07546379541137,745.3914436475071,,,527.2219583817341,686.4179219269099,,,633.3742974788091,778.1545112700611,288.706826089541,589.43924176415,422.38014198956137,847.6122146298757
labeled-data,example,000080.jpg,502.32202698859305,661.5179905337689,283.46473526993236,476.7342891425642,556.0534578895818,433.48703988079296,259.87532658169346,580.2655828298349,608.4743660856682,509.4973567651183,334.57512076111664,672.0021721729861,584.8849573974292,620.8917866818019
labeled-data,example,000081.jpg,483.97470911996277,915.759395284788,406.6538695307354,654.9653770092581,681.863637560189,636.6180591406278,389.6170743670074,695.591580861225,791.9475447719705,723.1125576641704,375.20132461308356,796.5018291386914,709.3846143631343,800.4333972533979
labeled-data,example,000082.jpg,523.2903902670276,796.5018291386914,398.79073330132246,559.2972195514003,604.5427979709617,538.3288562729658,366.02766567876847,593.3708098788566,671.3794559209717,580.2655828298349,414.51700576014844,702.1441943857359,633.3742974788091,695.591580861225
labeled-data,example,000083.jpg,791.9475447719705,850.23326003968,582.2639119876249,648.4127634847473,,,515.4272540376146,738.8388301229963,,,645.1690018229285,867.270055203408,869.268384361198,753.25457987692
labeled-data,example,000084.jpg,829.9527032141332,892.169986596549,569.1586849386032,652.3443315994538,831.2632259190353,565.8498330759112,524.6009129719298,732.2862165984856,877.1315205906109,615.6496958621932,659.5847515768523,876.4437141377232,907.2735428033606,740.1493528278985
labeled-data,example,000086.jpg,324.0909391218993,795.1913064337892,287.3963033846388,538.3288562729658,552.1218897748753,526.5341519288463,263.8068946963999,609.0970823376824,604.5427979709616,605.165514222976,257.25428117188915,700.8336716808336,553.4324124797773,690.3494900416164
labeled-data,example,000089.jpg,744.7687273954928,806.9860107779086,559.9850260042881,611.7181277474867,748.7002955101993,533.0867654533571,485.28523182486515,662.8285132386709,774.9107496082426,573.7129693053239,582.263911987625,765.0492842210393,811.605385345503,677.2442629925946
labeled-data,example,000090.jpg,873.1999524759045,957.6961218416568,681.8636375601892,740.1493528278983,,,587.5060028072336,812.2281015975171,704.1425235435258,906.5857363504726,905.9630200984586,817.4701924171258,,
labeled-data,example,000091.jpg,671.3794559209718,578.9550601249326,392.2381197768117,493.7710843062922,,,363.40662026896416,586.8181963543457,,,485.28523182486515,653.6548543043558,,
labeled-data,example,000092.jpg,389.6170743670074,581.5761055347369,263.8068946964,391.5503133239237,516.737776742517,390.2397906190215,186.48605510717252,484.5974253719771,553.4324124797774,447.90278963471656,252.01219035228053,556.676174141596,571.7797303484077,554.0551287317916
labeled-data,example,000093.jpg,124.89148797677097,202.8350438180127,86.88632953460834,166.1404080807522,181.24396428756387,179.24563512977375,52.81273920715217,198.90347570330624,195.65971404148766,209.38765734252348,63.29692084636945,234.28758873566454,177.3123961728574,231.66654332586018
labeled-data,example,000094.jpg,219.4316526287979,604.0173594313543,195.21740395659447,416.35693222177804,431.3063285105776,467.8122106502102,171.00315528439114,513.2139269105916,570.5382583757472,531.374613414744,113.49431468790794,604.0173594313544,473.68126368693356,628.2316081035578
labeled-data,example,000095.jpg,606.8596313840521,697.8475730361424,431.3063285105775,501.10680257448985,655.2881287284589,461.7586484821594,325.36899056968764,576.7763296751253,746.0915612492216,492.02645932241364,379.8510500821452,691.7940108680915,740.0379990811708,658.499418943812
labeled-data,example,000096.jpg,612.9131935521028,882.4812191616933,452.4937960987555,631.258389187583,733.98443691312,594.937016179278,334.44933382176384,616.1244837674559,797.5468396776538,591.9102350952525,434.3331095946029,794.7045677249561,867.1628046102386,743.2492892965239
labeled-data,example,000097.jpg,594.7525070479504,858.2669704894898,416.17242309045025,570.7227675070745,740.0379990811708,570.7227675070745,361.6903635779927,646.3922946077101,849.002118106086,585.8566729272017,388.9313933342215,755.3564136326255,776.3593720894759,749.3028514645747
labeled-data,example,000098.jpg,737.0112179971453,840.1062839853374,534.2168853674419,607.0441405153796,764.2522477533743,558.6156431709729,440.3866717626537,652.445856775761,782.4129342575267,607.0441405153796,570.538258375747,785.6242244728797,821.7610883498572,728.1153838763968
labeled-data,example,000099.jpg,579.6186016278233,579.8031107591509,364.7171446620181,422.41049438982884,,,270.88693105722996,485.9728971543626,,,358.6635824939673,591.9102350952525,643.1810043923571,470.8389917342355
labeled-data,example,000100.jpg,452.4937960987555,867.3473137415662,,,615.9399746361283,582.8298918431764,,,718.8505314929929,649.4190756917357,394.9849555022723,709.9546973722441,652.2613476444334,767.4635379687271
labeled-data,example,000101.jpg,543.2972286195183,588.8834540112272,358.6635824939673,437.54439980995596,,,240.61912021697572,519.2674890786424,,,355.6368014099419,613.0977026834306,537.2436664514672,470.8389917342355
labeled-data,example,000102.jpg,712.7969693249419,915.775811085973,500.9222934431622,646.3922946077101,800.5736207616793,631.258389187583,349.58323924189096,706.9279162882186,903.4841776185436,637.3119513556338,470.65448260290793,876.4276569936425,903.4841776185436,840.1062839853374
labeled-data,example,000103.jpg,839.9217748540099,682.7136676160154,649.2345665604081,697.8475730361425,,,594.7525070479504,785.6242244728797,,,737.0112179971453,840.1062839853374,794.5200585936285,558.6156431709729
labeled-data,example,000104.jpg,135.90483910147202,342.929624311906,110.89710794151634,244.6233707865631,197.99299922274122,252.38439080172174,84.164705667081,266.1817597175594,242.83444819921345,272.2181086182383,83.30237010984115,316.1972220374707,224.72540149717662,310.16087313679174
labeled-data,example,000105.jpg,621.5798158119477,886.5425852663326,462.2479052758014,595.7618485378656,743.0703975957593,593.7701996561636,346.7322701370952,629.6198795267968,798.8365662834105,605.7200929463746,472.2061496843105,814.8432255250669,778.9200774663923,778.9935456544339
labeled-data,example,000106.jpg,189.39200848265068,510.1209466246871,,,436.35646981367756,498.171053334476,,,567.8052960059983,643.5614216987095,117.69264874138484,510.1209466246871,348.72391901879706,569.8704130757419
labeled-data,example,000108.jpg,759.0035886493739,619.6616351182874,472.2061496843105,589.7869018927602,,,390.5485455345355,663.4779105157279,,,583.7384870596129,749.1188124289064,816.761406218727,567.8787641940398
labeled-data,example,000110.jpg,715.1873132519337,956.2502961258966,523.989020608558,657.5029638706224,806.8031618102178,615.6783373548838,400.5067899430446,703.3108881497644,920.3271480672222,629.6198795267965,543.9055094255764,890.5258830297363,826.7196506272362,852.6845542774014
labeled-data,example,000111.jpg,581.7468381779112,597.7534974195673,348.72391901879706,456.34642681873754,601.6633269949294,406.55520477619166,259.0997193422147,532.0290843234072,667.3877400910898,460.3297245821411,400.5067899430446,635.5948261719022,669.3793889727916,563.8954664306362
labeled-data,example,000112.jpg,215.2834439447745,699.327590386361,,,446.3147142221867,504.14599997958146,,,561.8303493608928,585.8036041293565,,,386.5652477711318,693.3526437412553
labeled-data,example,000113.jpg,362.66546119070983,902.4757763199476,,,518.0140739634526,733.185621375292,,,691.2875266715117,747.1271635472048,312.87423914816407,777.0018967727323,525.9806694902599,906.4590740833511
labeled-data,example,000114.jpg,478.18109632941594,822.8098210518743,378.5986522443245,551.9455731404255,615.6048691668423,530.0374354417054,326.81578132007695,621.6532839999895,671.3710378544935,621.6532839999895,340.75732349198967,731.1939724935902,637.5130068655624,715.2607814399755
labeled-data,example,000115.jpg,637.5130068655624,513.1084199472398,402.4984388247465,501.15852665702886,,,366.64875895411353,594.7660240970149,,,474.19779856601235,660.4904371931752,701.2457710800209,511.116771065538
labeled-data,example,000116.jpg,306.89929250305863,1018.9872358995046,,,561.8303493608928,732.1897969344411,,,848.6277883259563,797.9142100306015,273.04126151412754,791.9392633854959,611.6215714034386,973.1793116203626
labeled-data,example,000117.jpg,352.7072167822007,915.4214940510094,,,553.8637538340855,666.4653838382808,,,747.0536953591629,704.3067125906155,316.85753691156776,730.1981480527393,529.9639672536636,909.4465474059039
labeled-data,example,000118.jpg,213.04382326364785,226.26793669243833,143.54124251327795,160.90789386758732,228.23312899054986,144.79802415723654,97.51304334084757,172.41494366069497,254.46920251883517,154.4639459834469,156.42913828155847,218.44314283312528,248.94581861814353,203.71411909794742
labeled-data,example,000119.jpg,241.12102475883037,87.72305718342287,176.68154591742783,136.51294830619915,,,190.95028766088126,174.25607162759206,240.20046077538177,140.1952042399935,190.49000566915694,67.01036755582928,,
labeled-data,example,000120.jpg,607.4860849152979,643.6975375900461,415.72543259072944,483.19841135489975,670.6564894485637,429.42389154895034,296.22649968861964,556.8894199778674,742.3558491898295,485.1900602366016,397.800592655413,668.4217573531699,750.3224447166367,590.7474509667985
